keys,fi,en
TESTI1,Terpparallaa,Whazzup
TESTI2,No mikäs mp?,Opinions?
TESTI3,Apuuvva!,Hlep!
TESTI4,Mitähän vielä?,What else?
LOREM,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
ERROR0,VIRHE!,ERROR!
ERROR1,ERROR!!,ERROR!!
ERROR2,502 bad gateway,502 bad gateway
ERROR3,403 forbidden,403 forbidden
ERROR4,404,404
KREDIITIT,"Woffelson (arello.art.blog) – Ohjelmointi, musiikki\nHanna (Instagram: art_hannat) – Grafiikka\nLinja20 – Tekstit ja inspiraatio\n\nMultimediainstallaatio 2023","Woffelson (arello.art.blog) – Programming, music\nHanna (Instagram: art_hannat) – Graphics\nLinja20 – Texts and inspiration\n\nMultimedia installation 2023"
,,
START,Aloita päiväsi,Start your day
FIN,Suomi,Suomi
ENG,English,English
QUIT,"Hei, lopeta",Quit
OK,OK,OK
Y,Kyllä,Yes
N,Ei,No
YT,Kyllä kiitos,Yes thanks
NN,Ei nyt,Not now
LATAA,Ladataan palautusversiota...,Reverting to rollback version...
KYKY,Päätöksentekokyky:,Decision-making:
TERVE,Terveet valinnat:,Healthy choices:
SAIRAS,Sairaat valinnat:,Sick choices:
MIELI,Mieliala,Mood
JAXU,Jaksaminen,Strength
,,
ARKI0,Tiskaa,Do the dishes
ARKI1,Pese pyykit,Do the laundry
ARKI2,Siivoa huoneesi,Clean up your room
ARKI3,Maksa laskut,Pay the bills
ARKI4,Mee töihi,Go to work
ARKI5,Opiskele,Study
ARKI6,Tee läksysi,Do your homework
ARKI7,Muista soittaa Kelaan,Remember to call Kela
ARKI8,Varaa pyykkitupa!,Reserve laundry room!
ARKI9,Tee kunnon ruokaa,Make proper food
ARKI10,Syö jotain,Eat something
ARKI11,Korjaa rutiini!,Fix routines!
ARKI12,Aseta herätys!,Set alarm!
ARKI13,Herää!,Wake up!
ARKI14,Soita äitille,Call mom
ARKI15,Vastaa viesteihin,Answer to messages
ARKI16,Käy kaupassa,Go to store
ARKI17,Peseydy!,Wash up!
ARKI18,Katso kalenteria,Look up for the calendar
ARKI19,Muista varata lääkäri,Remember to make a nurse appointment
ARKI20,Imuroi,Vacuum clean
ARKI21,Katso postit läpi,Check the mail
ARKI22,Harjaa hiukset,Comb the hair
ARKI23,Älä ole myöhässä,Don’t be late
ARKI24,Selvitä asiat,Check out things
ARKI25,Älä jää sänkyyn,Don’t stay in bed
ARKI26,Vaihda lakanat,Change the sheets
ARKI27,Laita pyykit kuivumaan,Dry the laundry
ARKI28,Vie roskat,Take out the carbage
